date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,40753.0,386623.92,201513.54,185110.38,37115.9,46394.87,101599.61,45000.0,56599.61,18000.0,9649.9,28949.71,47.88,26.28,7.49
2023-02-01,2023,2,Base,34788.0,349970.97,183668.13,166302.84,33597.21,41996.52,90709.11,45000.0,45709.11,18000.0,6927.28,20781.83,47.52,25.92,5.94
2023-03-01,2023,3,Base,38432.0,384965.35,201986.8,182978.55,36956.67,46195.84,99826.03,45000.0,54826.03,18000.0,9206.51,27619.53,47.53,25.93,7.17
2023-04-01,2023,4,Base,41157.0,414357.93,218892.79,195465.15,39778.36,49722.95,105963.83,45000.0,60963.83,18000.0,10740.96,32222.87,47.17,25.57,7.78
2023-05-01,2023,5,Base,38350.0,393859.6,209614.11,184245.5,37810.52,47263.15,99171.82,45000.0,54171.82,18000.0,9042.96,27128.87,46.78,25.18,6.89
2023-06-01,2023,6,Base,36757.0,381624.35,204667.46,176956.89,36635.94,45794.92,94526.03,45000.0,49526.03,18000.0,7881.51,23644.53,46.37,24.77,6.2
2023-07-01,2023,7,Base,37835.0,381647.06,210870.93,170776.13,36638.12,45797.65,88340.36,45000.0,43340.36,18000.0,6335.09,19005.27,44.75,23.15,4.98
2023-08-01,2023,8,Base,38946.0,391850.41,215841.13,176009.27,37617.64,47022.05,91369.59,45000.0,46369.59,18000.0,7092.4,21277.19,44.92,23.32,5.43
2023-09-01,2023,9,Base,41534.0,419734.93,230178.96,189555.97,40294.55,50368.19,98893.23,45000.0,53893.23,18000.0,8973.31,26919.92,45.16,23.56,6.41
2023-10-01,2023,10,Base,43055.0,446559.1,242875.83,203683.26,42869.67,53587.09,107226.5,45000.0,62226.5,18000.0,11056.62,33169.87,45.61,24.01,7.43
2023-11-01,2023,11,Base,58659.0,577242.66,317143.4,260099.26,55415.3,69269.12,135414.85,45000.0,90414.85,18000.0,18103.71,54311.14,45.06,23.46,9.41
2023-12-01,2023,12,Base,60972.0,650214.93,363297.11,286917.81,62420.63,78025.79,146471.39,45000.0,101471.39,18000.0,20867.85,62603.54,44.13,22.53,9.63
2024-01-01,2024,1,Base,37810.0,380005.11,212475.71,167529.4,36480.49,45600.61,85448.3,45000.0,40448.3,18000.0,5612.07,16836.22,44.09,22.49,4.43
2024-02-01,2024,2,Base,37659.0,384659.04,213221.26,171437.78,36927.27,46159.08,88351.42,45000.0,43351.42,18000.0,6337.86,19013.57,44.57,22.97,4.94
2024-03-01,2024,3,Base,37876.0,400555.34,220181.72,180373.62,38453.31,48066.64,93853.67,45000.0,48853.67,18000.0,7713.42,23140.25,45.03,23.43,5.78
2024-04-01,2024,4,Base,40478.0,403013.25,223885.1,179128.16,38689.27,48361.59,92077.3,45000.0,47077.3,18000.0,7269.32,21807.97,44.45,22.85,5.41
2024-05-01,2024,5,Base,41227.0,425903.85,239414.46,186489.39,40886.77,51108.46,94494.16,45000.0,49494.16,18000.0,7873.54,23620.62,43.79,22.19,5.55
2024-06-01,2024,6,Base,45871.0,430447.62,244224.75,186222.87,41322.97,51653.71,93246.18,45000.0,48246.18,18000.0,7561.55,22684.64,43.26,21.66,5.27
2024-07-01,2024,7,Base,39809.0,413605.56,233166.44,180439.12,39706.13,49632.67,91100.32,45000.0,46100.32,18000.0,7025.08,21075.24,43.63,22.03,5.1
2024-08-01,2024,8,Base,45341.0,433825.0,245848.26,187976.74,41647.2,52059.0,94270.54,45000.0,49270.54,18000.0,7817.63,23452.9,43.33,21.73,5.41
2024-09-01,2024,9,Base,40998.0,434426.23,247111.79,187314.44,41704.92,52131.15,93478.37,45000.0,48478.37,18000.0,7619.59,22858.78,43.12,21.52,5.26
2024-10-01,2024,10,Base,42484.0,460835.35,263466.87,197368.48,44240.19,55300.24,97828.05,45000.0,52828.05,18000.0,8707.01,26121.03,42.83,21.23,5.67
2024-11-01,2024,11,Base,60972.0,594628.09,344620.84,250007.25,57084.3,71355.37,121567.59,45000.0,76567.59,18000.0,14641.9,43925.69,42.04,20.44,7.39
2024-12-01,2024,12,Base,60972.0,671045.41,390924.94,280120.47,64420.36,80525.45,135174.66,45000.0,90174.66,18000.0,18043.66,54130.99,41.74,20.14,8.07
