date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2024-01-01,2024,1,Base,103722.0,1270812.47,663520.84,607291.63,71165.5,152497.5,383628.63,45000.0,338628.63,18000.0,80157.16,240471.47,47.79,30.19,18.92
2024-02-01,2024,2,Base,107602.0,1237558.96,652694.53,584864.43,69303.3,148507.08,367054.05,45000.0,322054.05,18000.0,76013.51,228040.54,47.26,29.66,18.43
2024-03-01,2024,3,Base,124389.0,1305129.65,696456.12,608673.53,73087.26,156615.56,378970.71,45000.0,333970.71,18000.0,78992.68,236978.03,46.64,29.04,18.16
2024-04-01,2024,4,Base,115346.0,1350167.56,740290.09,609877.47,75609.38,162020.11,372247.98,45000.0,327247.98,18000.0,77312.0,231935.99,45.17,27.57,17.18
2024-05-01,2024,5,Base,86326.0,1071351.51,576618.52,494732.99,59995.68,128562.18,306175.13,45000.0,261175.13,18000.0,60793.78,182381.35,46.18,28.58,17.02
2024-06-01,2024,6,Base,108245.0,1339938.61,722926.19,617012.42,75036.56,160792.63,381183.22,45000.0,336183.22,18000.0,79545.81,238637.42,46.05,28.45,17.81
2024-07-01,2024,7,Base,101797.0,1258829.46,688147.48,570681.98,70494.45,151059.54,349127.99,45000.0,304127.99,18000.0,71532.0,214595.99,45.33,27.73,17.05
2024-08-01,2024,8,Base,101366.0,1200059.21,650963.97,549095.24,67203.32,144007.11,337884.82,45000.0,292884.82,18000.0,68721.2,206163.61,45.76,28.16,17.18
2024-09-01,2024,9,Base,88703.0,1070641.91,593489.72,477152.19,59955.95,128477.03,288719.21,45000.0,243719.21,18000.0,56429.8,169289.41,44.57,26.97,15.81
2024-10-01,2024,10,Base,96428.0,1220461.73,672990.3,547471.43,68345.86,146455.41,332670.16,45000.0,287670.16,18000.0,67417.54,202252.62,44.86,27.26,16.57
2024-11-01,2024,11,Base,112953.0,1346332.69,757817.67,588515.02,75394.63,161559.92,351560.47,45000.0,306560.47,18000.0,72140.12,216420.35,43.71,26.11,16.07
2024-12-01,2024,12,Base,112266.0,1448162.07,821001.73,627160.35,81097.08,173779.45,372283.82,45000.0,327283.82,18000.0,77320.96,231962.87,43.31,25.71,16.02
