date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2024-01-01,2024,1,Base,43495.0,1768493.58,797413.75,971079.82,229904.17,353698.72,387476.94,75000.0,312476.94,28000.0,65429.7,219047.25,54.91,21.91,12.39
2024-02-01,2024,2,Base,32180.0,1287681.82,583166.88,704514.94,167398.64,257536.36,279579.94,75000.0,204579.94,28000.0,40613.39,135966.55,54.71,21.71,10.56
2024-03-01,2024,3,Base,39037.0,1537389.19,696133.1,841256.09,199860.59,307477.84,333917.66,75000.0,258917.66,28000.0,53111.06,177806.6,54.72,21.72,11.57
2024-04-01,2024,4,Base,50809.0,1995382.38,912260.81,1083121.57,259399.71,399076.48,424645.39,75000.0,349645.39,28000.0,73978.44,247666.95,54.28,21.28,12.41
2024-05-01,2024,5,Base,48041.0,1896837.83,863632.28,1033205.55,246588.92,379367.57,407249.07,75000.0,332249.07,28000.0,69977.29,234271.78,54.47,21.47,12.35
2024-06-01,2024,6,Base,43793.0,1831696.09,835464.0,996232.09,238120.49,366339.22,391772.38,75000.0,316772.38,28000.0,66417.65,222354.73,54.39,21.39,12.14
2024-07-01,2024,7,Base,49227.0,2045317.76,941536.28,1103781.48,265891.31,409063.55,428826.62,75000.0,353826.62,28000.0,74940.12,250886.5,53.97,20.97,12.27
2024-08-01,2024,8,Base,43536.0,1905235.36,873344.96,1031890.4,247680.6,381047.07,403162.73,75000.0,328162.73,28000.0,69037.43,231125.3,54.16,21.16,12.13
2024-09-01,2024,9,Base,60294.0,2380068.23,1092048.51,1288019.72,309408.87,476013.65,502597.2,75000.0,427597.2,28000.0,91907.36,307689.84,54.12,21.12,12.93
2024-10-01,2024,10,Base,59938.0,2652721.9,1218579.31,1434142.59,344853.85,530544.38,558744.36,75000.0,483744.36,28000.0,104821.2,350923.16,54.06,21.06,13.23
2024-11-01,2024,11,Base,77728.0,3339986.37,1542838.51,1797147.87,434198.23,667997.27,694952.36,75000.0,619952.36,28000.0,136149.04,455803.32,53.81,20.81,13.65
2024-12-01,2024,12,Base,80289.0,3392733.07,1567134.82,1825598.25,441055.3,678546.61,705996.34,75000.0,630996.34,28000.0,138689.16,464307.18,53.81,20.81,13.69
