date,year,month,product,region,channel,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2024-01-01,2024,1,Undefined,Undefined,Undefined,0.72,1.1685,0.9988,1.0033,0.2516,0.5417,0,43495.0,40.66,1768493.58,797413.75,971079.82,229904.17,353698.72,387476.94,75000.0,312476.94,28000.0,65429.7,219047.25
2024-02-01,2024,2,Undefined,Undefined,Undefined,0.68,0.5311,0.9951,1.0067,0.3012,0.4008,0,32180.0,40.01,1287681.82,583166.88,704514.94,167398.64,257536.36,279579.94,75000.0,204579.94,28000.0,40613.39,135966.55
2024-03-01,2024,3,Undefined,Undefined,Undefined,0.78,0.5873,0.9991,1.01,0.3567,0.4862,0,39037.0,39.38,1537389.19,696133.1,841256.09,199860.59,307477.84,333917.66,75000.0,258917.66,28000.0,53111.06,177806.6
2024-04-01,2024,4,Undefined,Undefined,Undefined,0.85,0.9805,0.9867,1.0134,0.3579,0.6328,0,50809.0,39.27,1995382.38,912260.81,1083121.57,259399.71,399076.48,424645.39,75000.0,349645.39,28000.0,73978.44,247666.95
2024-05-01,2024,5,Undefined,Undefined,Undefined,0.9,0.7366,0.9962,1.0168,0.3544,0.5983,0,48041.0,39.48,1896837.83,863632.28,1033205.55,246588.92,379367.57,407249.07,75000.0,332249.07,28000.0,69977.29,234271.78
2024-06-01,2024,6,Undefined,Undefined,Undefined,0.88,0.8131,0.9965,1.0202,0.1823,0.5454,0,43793.0,41.83,1831696.09,835464.0,996232.09,238120.49,366339.22,391772.38,75000.0,316772.38,28000.0,66417.65,222354.73
2024-07-01,2024,7,Undefined,Undefined,Undefined,0.85,1.1598,0.9854,1.0236,0.1969,0.6131,0,49227.0,41.55,2045317.76,941536.28,1103781.48,265891.31,409063.55,428826.62,75000.0,353826.62,28000.0,74940.12,250886.5
2024-08-01,2024,8,Undefined,Undefined,Undefined,0.92,0.8862,0.995,1.027,0.0438,0.5422,0,43536.0,43.76,1905235.36,873344.96,1031890.4,247680.6,381047.07,403162.73,75000.0,328162.73,28000.0,69037.43,231125.3
2024-09-01,2024,9,Undefined,Undefined,Undefined,0.98,1.0768,1.0009,1.0304,0.3753,0.751,0,60294.0,39.47,2380068.23,1092048.51,1288019.72,309408.87,476013.65,502597.2,75000.0,427597.2,28000.0,91907.36,307689.84
2024-10-01,2024,10,Undefined,Undefined,Undefined,1.05,1.4374,0.998,1.0338,0.0185,0.7465,0,59938.0,44.26,2652721.9,1218579.31,1434142.59,344853.85,530544.38,558744.36,75000.0,483744.36,28000.0,104821.2,350923.16
2024-11-01,2024,11,Undefined,Undefined,Undefined,1.3,1.4174,0.9925,1.0373,0.114,0.9681,0,77728.0,42.97,3339986.37,1542838.51,1797147.87,434198.23,667997.27,694952.36,75000.0,619952.36,28000.0,136149.04,455803.32
2024-12-01,2024,12,Undefined,Undefined,Undefined,1.95,1.6389,0.9957,1.0407,0.1749,1.0,1,80289.0,42.26,3392733.07,1567134.82,1825598.25,441055.3,678546.61,705996.34,75000.0,630996.34,28000.0,138689.16,464307.18
