date,year,month,product,region,channel,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,Undefined,Undefined,Undefined,0.7,1.0001,0.9993,1.0012,0.363,0.1779,0,1721.0,881.53,1516685.84,273157.02,1243528.82,500506.33,530840.04,212182.45,95000.0,117182.45,42000.0,15788.32,59394.14
2023-02-01,2023,2,Undefined,Undefined,Undefined,0.85,1.03,1.0146,1.0025,0.1725,0.2096,0,2028.0,939.72,1905365.98,344400.74,1560965.23,628770.77,666878.09,265316.37,95000.0,170316.37,42000.0,26946.44,101369.93
2023-03-01,2023,3,Undefined,Undefined,Undefined,1.05,0.9951,1.0042,1.0038,0.2328,0.2581,0,2496.0,921.09,2299355.95,414991.19,1884364.76,758787.46,804774.58,320802.71,95000.0,225802.71,42000.0,38598.57,145204.14
2023-04-01,2023,4,Undefined,Undefined,Undefined,1.1,0.9072,1.0021,1.005,0.1269,0.2525,0,2442.0,952.6,2326168.69,419891.51,1906277.18,767635.67,814159.04,324482.47,95000.0,229482.47,42000.0,39371.32,148111.15
2023-05-01,2023,5,Undefined,Undefined,Undefined,1.05,0.885,1.0039,1.0063,0.1947,0.2417,0,2338.0,932.83,2180735.42,394000.94,1786734.48,719642.69,763257.4,303834.39,95000.0,208834.39,42000.0,35035.22,131799.17
2023-06-01,2023,6,Undefined,Undefined,Undefined,1.0,0.8146,1.0048,1.0075,0.2643,0.225,0,2177.0,912.46,1986119.68,359110.38,1627009.3,655419.49,695141.89,276447.91,95000.0,181447.91,42000.0,29284.06,110163.85
2023-07-01,2023,7,Undefined,Undefined,Undefined,0.8,0.8669,0.9836,1.0088,0.1382,0.1803,0,1744.0,948.19,1653701.87,299780.55,1353921.31,545721.62,578795.65,229404.04,95000.0,134404.04,42000.0,19404.85,72999.19
2023-08-01,2023,8,Undefined,Undefined,Undefined,0.75,1.0342,0.9847,1.01,0.0891,0.1822,0,1762.0,963.11,1697197.46,307768.66,1389428.8,560075.16,594019.11,235334.52,95000.0,140334.52,42000.0,20650.25,77684.27
2023-09-01,2023,9,Undefined,Undefined,Undefined,1.0,0.9764,1.008,1.0113,0.129,0.2376,0,2299.0,953.71,2192201.55,397298.85,1794902.7,723426.51,767270.54,304205.64,95000.0,209205.64,42000.0,35113.19,132092.46
2023-10-01,2023,10,Undefined,Undefined,Undefined,1.15,0.9203,0.9812,1.0126,0.078,0.263,0,2544.0,966.56,2459252.51,446775.73,2012476.78,811553.33,860738.38,340185.07,95000.0,245185.07,42000.0,42668.87,160516.21
2023-11-01,2023,11,Undefined,Undefined,Undefined,1.25,0.9892,0.9958,1.0138,0.1593,0.3011,0,2913.0,944.02,2749496.82,498337.0,2251159.82,907333.95,962323.89,381501.99,95000.0,286501.99,42000.0,51345.42,193156.57
2023-12-01,2023,12,Undefined,Undefined,Undefined,1.3,1.0276,0.9977,1.0151,0.1955,0.3217,0,3111.0,933.67,2905036.26,526625.18,2378411.07,958661.96,1016762.69,402986.42,95000.0,307986.42,42000.0,55857.15,210129.27
2024-01-01,2024,1,Undefined,Undefined,Undefined,0.7,1.0312,0.9866,1.0164,0.1578,0.1722,0,1665.0,944.07,1572275.96,285820.96,1286455.0,518851.07,550296.59,217307.35,95000.0,122307.35,42000.0,16864.54,63442.8
2024-02-01,2024,2,Undefined,Undefined,Undefined,0.85,0.9304,1.0212,1.0176,0.0901,0.1953,0,1889.0,967.78,1827950.97,333095.54,1494855.43,603223.82,639782.84,251848.77,95000.0,156848.77,42000.0,24118.24,90730.53
2024-03-01,2024,3,Undefined,Undefined,Undefined,1.05,0.9449,1.0346,1.0189,0.3399,0.2568,0,2484.0,894.66,2222006.76,406214.05,1815792.71,733262.23,777702.37,304828.11,95000.0,209828.11,42000.0,35243.9,132584.21
2024-04-01,2024,4,Undefined,Undefined,Undefined,1.1,1.0282,1.0132,1.0202,0.1166,0.2671,0,2583.0,959.61,2479114.65,451545.37,2027569.28,818107.84,867690.13,341771.31,95000.0,246771.31,42000.0,43001.98,161769.34
2024-05-01,2024,5,Undefined,Undefined,Undefined,1.05,0.8867,1.0143,1.0215,0.209,0.242,0,2341.0,932.38,2182442.23,397827.32,1784614.91,720205.93,763854.78,300554.2,95000.0,205554.2,42000.0,34346.38,129207.82
2024-06-01,2024,6,Undefined,Undefined,Undefined,1.0,0.8693,1.0244,1.0227,0.2664,0.2311,0,2236.0,916.4,2048648.2,374398.34,1674249.86,676053.91,717026.87,281169.08,95000.0,186169.08,42000.0,30275.51,113893.58
2024-07-01,2024,7,Undefined,Undefined,Undefined,0.8,0.7118,1.0209,1.024,0.1291,0.1642,0,1588.0,957.36,1520697.85,277878.13,1242819.72,501830.29,532244.25,208745.19,95000.0,113745.19,42000.0,15066.49,56678.7
2024-08-01,2024,8,Undefined,Undefined,Undefined,0.75,0.6549,1.0329,1.0253,0.3875,0.1577,0,1525.0,881.4,1344500.07,246408.43,1098091.64,443685.02,470575.03,183831.59,95000.0,88831.59,42000.0,9834.63,36996.96
2024-09-01,2024,9,Undefined,Undefined,Undefined,1.0,0.557,1.0315,1.0266,0.1219,0.1862,0,1801.0,960.99,1730926.24,317325.44,1413600.8,571205.66,605824.18,236570.95,95000.0,141570.95,42000.0,20909.9,78661.05
2024-10-01,2024,10,Undefined,Undefined,Undefined,1.15,0.6443,1.0433,1.0279,0.3322,0.2369,0,2291.0,899.36,2060709.14,378888.02,1681821.11,680034.01,721248.2,280538.9,95000.0,185538.9,42000.0,30143.17,113395.73
2024-11-01,2024,11,Undefined,Undefined,Undefined,1.25,0.6064,1.0695,1.0291,0.0899,0.2378,0,2300.0,974.75,2241890.41,414575.1,1827315.31,739823.84,784661.65,302829.83,95000.0,207829.83,42000.0,34824.26,131005.57
2024-12-01,2024,12,Undefined,Undefined,Undefined,1.3,0.732,1.0569,1.0304,0.1637,0.2711,0,2623.0,951.63,2495698.39,460625.79,2035072.6,823580.47,873494.44,337997.69,95000.0,242997.69,42000.0,42209.52,158788.18
