date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,1721.0,1516685.84,273157.02,1243528.82,500506.33,530840.04,212182.45,95000.0,117182.45,42000.0,15788.32,59394.14,81.99,13.99,3.92
2023-02-01,2023,2,Base,2028.0,1905365.98,344400.74,1560965.23,628770.77,666878.09,265316.37,95000.0,170316.37,42000.0,26946.44,101369.93,81.92,13.92,5.32
2023-03-01,2023,3,Base,2496.0,2299355.95,414991.19,1884364.76,758787.46,804774.58,320802.71,95000.0,225802.71,42000.0,38598.57,145204.14,81.95,13.95,6.31
2023-04-01,2023,4,Base,2442.0,2326168.69,419891.51,1906277.18,767635.67,814159.04,324482.47,95000.0,229482.47,42000.0,39371.32,148111.15,81.95,13.95,6.37
2023-05-01,2023,5,Base,2338.0,2180735.42,394000.94,1786734.48,719642.69,763257.4,303834.39,95000.0,208834.39,42000.0,35035.22,131799.17,81.93,13.93,6.04
2023-06-01,2023,6,Base,2177.0,1986119.68,359110.38,1627009.3,655419.49,695141.89,276447.91,95000.0,181447.91,42000.0,29284.06,110163.85,81.92,13.92,5.55
2023-07-01,2023,7,Base,1744.0,1653701.87,299780.55,1353921.31,545721.62,578795.65,229404.04,95000.0,134404.04,42000.0,19404.85,72999.19,81.87,13.87,4.41
2023-08-01,2023,8,Base,1762.0,1697197.46,307768.66,1389428.8,560075.16,594019.11,235334.52,95000.0,140334.52,42000.0,20650.25,77684.27,81.87,13.87,4.58
2023-09-01,2023,9,Base,2299.0,2192201.55,397298.85,1794902.7,723426.51,767270.54,304205.64,95000.0,209205.64,42000.0,35113.19,132092.46,81.88,13.88,6.03
2023-10-01,2023,10,Base,2544.0,2459252.51,446775.73,2012476.78,811553.33,860738.38,340185.07,95000.0,245185.07,42000.0,42668.87,160516.21,81.83,13.83,6.53
2023-11-01,2023,11,Base,2913.0,2749496.82,498337.0,2251159.82,907333.95,962323.89,381501.99,95000.0,286501.99,42000.0,51345.42,193156.57,81.88,13.88,7.03
2023-12-01,2023,12,Base,3111.0,2905036.26,526625.18,2378411.07,958661.96,1016762.69,402986.42,95000.0,307986.42,42000.0,55857.15,210129.27,81.87,13.87,7.23
2024-01-01,2024,1,Base,1665.0,1572275.96,285820.96,1286455.0,518851.07,550296.59,217307.35,95000.0,122307.35,42000.0,16864.54,63442.8,81.82,13.82,4.04
2024-02-01,2024,2,Base,1889.0,1827950.97,333095.54,1494855.43,603223.82,639782.84,251848.77,95000.0,156848.77,42000.0,24118.24,90730.53,81.78,13.78,4.96
2024-03-01,2024,3,Base,2484.0,2222006.76,406214.05,1815792.71,733262.23,777702.37,304828.11,95000.0,209828.11,42000.0,35243.9,132584.21,81.72,13.72,5.97
2024-04-01,2024,4,Base,2583.0,2479114.65,451545.37,2027569.28,818107.84,867690.13,341771.31,95000.0,246771.31,42000.0,43001.98,161769.34,81.79,13.79,6.53
2024-05-01,2024,5,Base,2341.0,2182442.23,397827.32,1784614.91,720205.93,763854.78,300554.2,95000.0,205554.2,42000.0,34346.38,129207.82,81.77,13.77,5.92
